有口亦难分诉,亚,平工姗牙亚
笔上难写心中情,白,蛋评飨吐白
到此搁笔到此停,头,刖柄被龙头
有情日后成双对,偕,磊土岳秃偕
无情日后难相逢,是,岁虮异悻是
石榴花开慢慢红,成,窈拽砖氧成
冷水冲糖慢慢融,双,走杰颖苬双
只要两人心不变,成,快仕孝魏成
总有一天会相逢,对,糖萝卯有对
就此搁笔就此停,不,催勉透泱不
石榴开花慢慢红,多,惑侨侮恩多
冰水冲糖慢慢溶,么,已觥男攫么
总有一日得相逢,你,肺楫吃掌你
笔上难写心上情,彼,夺皛怕教彼
无情以后难相逢,友,信粮牧啬友
冷水冲糖慢慢溶,活,虻婵蚀掠活
只有两人心不变,快,她揍惶女快
总有一天得相逢,乐,佯朊佛畲乐
八兄弟 同赏月,脱,不珐舴汊脱
白痴,保,解正奈猫保
半部春秋,秦,老落囲贵秦
半导体,付,直丕徒烨付
半个月,胖,婶量娣岂胖
半真半假,值,荟霞蚊侵值
宝岛姑娘,始,驱娣戊票始
闯王失马,门,漏承签待门
边打边谈,订,教苫杉煽订
不是男孩,姓,萍仇紤婵姓
部位相反,陪,榻娘燕爸陪
草木之中有一人,茶,硬汁玷讫茶
草上飞,早,查扒简造早
长期住医院,疚,阐英项岚疚
乘人不备,乖,锐冑察找乖
打断念头,心,卿天针华心
添丁进口,可,潺缄先帐可
春风吹又生,薪,黑柚踪仨薪
春和秋都不热,秦,胰葛肼穹秦
土上有竹林 土下一寸金,等,艺源谣倒等
兔儿头上戴顶帽 满腹苦水无处申,冤,秽喋柜价冤
文武合一,斌,踢跎扇珂斌
岂止百里挑一,皑,竿婵观挛皑
我没有他有 天没有地有,也,犬啤菇偷也
小两口一条心,患,盟蜗诛碟患
小人国,付,侧宣件重付
谢绝参观,企,稔怒淅载企
休要丢人现眼,相,熹谒崽叹相
森林大火,焚,鸠棂霖才焚
旭日东升,九,箫草肤滩九
独留花下人 有情却无心,倩,慕此挠诲倩
多一点就不准,淮,眭稍炳付淮
东洋兵,晖,它艘卧螃晖
儿女双全,好,葛值俑伊好
二木不成林,相,瓢扁乡昌相
二人手拉手 钢丝绳上走,丛,扒筵眵捱丛
二人土上蹲,坐,垡舌意鹇坐
二山在一道 猜出便错了,击,蜻耗勽蚯击
二十四小时,旧,距必笼侠旧
饭没做熟,炊,汗俯俱醄炊
飞蛾扑火,烛,洹甥潘熄烛
一斤多一点,斥,鳗昃乳示斥
十女同耕半边田,妻,掮即番罩妻
十叁点,汁,鬼辈隆孚汁
十五天,胖,友吋蜃羌胖
十六两多一点,斥,皫雉湘创斥
一木走过田中央,东,区苬凸佗东
石头成堆,磊,闸侈斛矮磊
水上人家,沪,蓝端掌扈沪
说不叫说 拿不叫拿,最,勋分稔穹最
说出圆又圆 写出是九点,丸,剂韭颗衡丸
撕掉画皮,田,哗孔悠恕田
四撇一弯钩 虫在肚中留,蜀,帝磕趴胞蜀
四面不透风 里面刺骨寒,图,阅漯芩基图
四面都是山 山山接相连,田,洇外颚珐田
四退八进一,曰,矛腌粘增曰
算命先生,仆,空芊云驳仆
太阳出来了,旦,怀丽诡逍旦
太阳西边下 月亮东边挂,明,谊娔俎淬明
徒弟,们,众巨珊椅们
云南大旱,真,沃但亢挖真
提前出发,选,揭尝蝇萧选
天旱,沙,拼豉昌法沙
田里雨後长青草,蕾,慑源颜提蕾
田中,十,冈聪贯辑十
同胞,捉,晋鲁畸枝捉
投稿,效,亥浆藩斯效
头是一 腰是一 尾是一 其实不是一,三,愣盲薨面三
打破框框 发现人才,团,液债昇谔团
大口多一点,吠,狼六声婵吠
大口加小口,固,婢揩苴漕固
大门开 有客来 先脱帽 再进来,阁,屡串天尔阁
大雨下在横山上,雪,览痢站冯雪
十字架下三个人,来,赈椒酵蔷来
十字对十字 太阳对月亮,朝,娩咫坦和朝
十个哥哥,克,错诸帜呓克
三人两口一匹马,验,塾浏察世验
三口重叠 莫把品字猜,目,脸亩值躁目
三张纸,顺,锈抱妹瞎顺
上下合,卡,呆秉户埔卡
上下串通,卡,胥姥沌荐卡
上下难分,卡,嗯田唤恁卡
久雷不雨,田,琴迁纭乱田
千言万语,够,躲乘旺破够
千里姻缘一线牵,重,唁乙俟鼓重
大人挑小人,夹,齐上闽鸾夹
大丈夫不得出头,天,苆畀鳞姨天
大有头 中无心 小全身,京,沊种祟胶京
大雨落在横山上,雪,学礴阍哇雪
小姑娘,妙,峁禁扣驭妙
不要讲话,吻,卑而屑卿吻
不讲理的人,地,我轭溜呓地
中心一点口不见,卜,谛靓刈蚊卜
中秋夜乌云密布,胞,邱鸭沛命胞
中国话,哗,哦赈蚜废哗
互吻,吕,嫣件么末吕
五十对耳朵,陌,钰亭芸啪陌
五口之家 外种一树,梧,妆赠茵群梧
六十不足 八十有余,平,脌包棘朩平
公而忘私,八,辑乙梢笑八
反比,北,霎趿函睡北
天上无二 合去一口 家家都有,人,艘陕峡洲人
天天,昊,囧烨赈鸥昊
夫人何处去,二,趿理才邀二
太太,夫,击家爹危夫
太阳王,旺,熹烋瞐睡旺
太阳西边下 月儿东边挂,明,布摹咯控明
太阳挂在树顶上,果,琶旨憾妃果
孔子登山,岳,广鹭人宝岳
有目共睹,者,充伉丸徒者
心如刀刺,必,稿鞋蚤邪必
手不释卷,卷,咳剡震端卷
手提包,抱,诵嗅酒器抱
手无寸铁,控,痛坐迕眵控
文武两全,斌,徉忆判妃斌
方言,响,垦芆偕衔响
日加直 不加点,神,院壤怪便神
日长月短左右战 一正一反两边排,门,执匾月酋门
日复一日,昌,露笳瀚湄昌
日落半林中,东,筮将民顺东
日落相残洗却凡心一点,秃,苔寄帅白秃
日落香残 洗凡心一点,秃,竞枣询驻秃
月光照进门,闲,依怡氏瘦闲
木字多一撇,禾,卧橹弁胰禾
水上工程,汞,禽窯瑟俸汞
火尽炉冷平添意马心猿,驴,钱呕佬郎驴
王小明耳朵很大 今年十四岁 读一心国小,听,悲拽飘良听
王先生坐在石头上,碧,怪尖瞿滩碧
王昭君仰首看斜月 云天吊亡魂,望,扫旻警恪望
付出爱心,受,汕尤炸调受
有心得志,士,漓沐挖叉士
有手怀抱里 有脚想溜掉 有火点就跑,包,鲳背榻角包
兄有债,歌,浑泾型晖歌
出一半有何不可,仙,昂甮螃欢仙
出自幽谷 迁於乔木,呆,恣穗线祈呆
半出半进,崔,甸技披够崔
半个人,伴,酬奇醋氏伴
半个月亮,胖,唬目问织胖
半推半就,掠,似庐垓订掠
去了上半截 有了下半截 比成两半截 又无下半截,熊,坛哄自苔熊
古时候的月亮,胡,交噩档现胡
