有口亦难分诉,亚,132511 251 413234 5432411121 3453 4533124,122431
笔上难写心中情,白,3143143115 211 5432411121 45151 4544 2512 44211212511,32511
到此搁笔到此停,头,15412122 212135 121425354251 3143143115 15412122 212135 32412514512,44134
有情日后成双对,偕,132511 44211212511 2511 331251 135534 5454 54124,32153532511
无情日后难相逢,是,1135 44211212511 2511 331251 5432411121 123425111 3541112454,251112134
石榴花开慢慢红,成,13251 12343545325121 1223235 1132 44225112522154 44225112522154 551121,135534
冷水冲糖慢慢融,双,4134454 2534 412512 4312344135112251 44225112522154 44225112522154 1251254312251214,5454
只要两人心不变,成,25134 125221531 1253434 34 4544 1324 41223454,135534
总有一天会相逢,对,432514544 132511 1 1134 341154 123425111 3541112454,54124
就此搁笔就此停,不,412512341354 212135 121425354251 3143143115 412512341354 212135 32412514512,1324
石榴开花慢慢红,多,13251 12343545325121 1132 1223235 44225112522154 44225112522154 551121,354354
冰水冲糖慢慢溶,么,412534 2534 412512 4312344135112251 44225112522154 44225112522154 4414453434251,354
总有一日得相逢,你,432514544 132511 1 2511 33225111124 123425111 3541112454,3235234
笔上难写心上情,彼,3143143115 211 5432411121 45151 4544 211 44211212511,33253254
无情以后难相逢,友,1135 44211212511 5434 331251 5432411121 123425111 3541112454,1354
冷水冲糖慢慢溶,活,4134454 2534 412512 4312344135112251 44225112522154 44225112522154 4414453434251,441312251
只有两人心不变,快,25134 132511 1253434 34 4544 1324 41223454,4425134
总有一天得相逢,乐,432514544 132511 1 1134 33225111124 123425111 3541112454,35234
八兄弟 同赏月,脱,34 25135 4351523 251251 243452512534 3511,35114325135
白痴,保,32511 4134131134251,322511234
半部春秋,秦,43112 4143125152 111342511 312344334,1113431234
半导体,付,43112 515124 3212341,32124
半个月,胖,43112 342 3511,351143112
半真半假,值,43112 1225111134 43112 32512115154,3212251111
宝岛姑娘,始,44511214 3545252 53112251 5314511534,53154251
闯王失马,门,425551 1121 31134 551,425
边打边谈,订,53454 12112 53454 4543344334,4512
不是男孩,姓,1324 251112134 2512153 521415334,53131121
部位相反,陪,4143125152 3241431 123425111 3354,5241431251
草木之中有一人,茶,122251112 1234 454 2512 132511 1 34,122341234
草上飞,早,122251112 211 534,251112
长期住医院,疚,3154 122111343511 3241121 1311345 524451135,41341354
乘人不备,乖,3122113534 34 1324 35425121,31221135
打断念头,心,12112 43123453312 34454544 44134,4544
添丁进口,可,44111342444 12 1132454 251,12512
春风吹又生,薪,111342511 3534 2513534 54 31121,1224143112343312
春和秋都不热,秦,111342511 31234251 312344334 1213251152 1324 1213544444,1113431234
土上有竹林 土下一寸金,等,121 211 132511 312312 12341234 121 124 1 124 34112431,314314121124
兔儿头上戴顶帽 满腹苦水无处申,冤,35251354 35 44134 211 12125121122134534 12132534 252251125111 4411221253434 3511312511354 12212251 2534 1135 35424 25112,4535251354
文武合一,斌,4134 11212154 341251 1,413411212154
岂止百里挑一,皑,252515 2121 132511 2511211 121341534 1,32511252515
我没有他有 天没有地有,也,3121534 4413554 132511 32525 132511 1134 4413554 132511 121525 132511,525
小两口一条心,患,234 1253434 251 1 3541234 4544,25125124544
小人国,付,234 34 25112141,32124
谢绝参观,企,453251113124 551355215 54134333 542535,342121
休要丢人现眼,相,321234 125221531 312154 34 11212535 25111511534,123425111
森林大火,焚,123412341234 12341234 134 4334,123412344334
旭日东升,九,352511 2511 15234 3132,35
独留花下人 有情却无心,倩,353251214 3545325121 1223235 124 34 132511 44211212511 1215452 1135 4544,3211212511
多一点就不准,淮,354354 1 212514444 412512341354 1324 4132411121,44132411121
东洋兵,晖,15234 441431112 3212134,2511451512
儿女双全,好,35 531 5454 341121,531521
二木不成林,相,11 1234 1324 135534 12341234,123425111
二人手拉手 钢丝绳上走,丛,11 34 3112 12141431 3112 311152534 55551 55125125115 211 1212134,34341
二人土上蹲,坐,11 34 121 211 2512121431253511124,3434121
二山在一道 猜出便错了,击,11 252 132121 1 431325111454 35311212511 52252 321251134 3111512212511 52,11252
二十四小时,旧,11 12 25351 234 2511124,22511
饭没做熟,炊,3553354 4413554 32122513134 412515213544444,43343534
飞蛾扑火,烛,534 2512143121534 12124 4334,4334251214
一斤多一点,斥,1 3312 354354 1 212514444,33124
十女同耕半边田,妻,12 531 251251 1112341132 43112 53454 25121,15112531
十叁点,汁,12 54134111 212514444,44112
十五天,胖,12 1251 1134,351143112
十六两多一点,斥,12 4134 1253434 354354 1 212514444,33124
一木走过田中央,东,1 1234 1212134 124454 25121 2512 25134,15234
石头成堆,磊,13251 44134 135534 12132411121,132511325113251
水上人家,沪,2534 211 34 4451353334,4414513
说不叫说 拿不叫拿,最,454325135 1324 25152 454325135 3412513112 1324 25152 3412513112,251112211154
说出圆又圆 写出是九点,丸,454325135 52252 2525125341 54 2525125341 45151 52252 251112134 35 212514444,354
撕掉画皮,田,121122111343312 12121251112 12512152 53254,25121
四撇一弯钩 虫在肚中留,蜀,25351 12143252343134 1 412234515 311153554 251214 132121 3511121 2512 3545325121,2522135251214
四面不透风 里面刺骨寒,图,25351 132522111 1324 3123453454 3534 2511211 132522111 12523422 255452511 445112213444,25354441
四面都是山 山山接相连,田,25351 132522111 1213251152 251112134 252 252 252 12141431531 123425111 1512454,25121
四退八进一,曰,25351 511534454 34 1132454 1,2511
算命先生,仆,31431425111132 34125152 312135 31121,3224
